"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
329,"2018-11-01 00:00:02.0060","2018-11-01 00:05:31.3200",55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,342,"Boylston St at Jersey St",42.344650628878306,-71.09732501226972,2867,"Subscriber",1991,1
814,"2018-11-01 00:00:13.0960","2018-11-01 00:13:47.5230",69,"Coolidge Corner - Beacon St at Centre St",42.341598,-71.123338,344,"Commonwealth Ave at Chiswick Rd",42.34024644768889,-71.15168806174552,3526,"Subscriber",1969,0
571,"2018-11-01 00:01:05.5240","2018-11-01 00:10:37.2020",364,"Tremont St at Northampton St",42.33889559644165,-71.08149975611013,359,"One Brigham Circle",42.333922701369964,-71.10446508982932,3180,"Subscriber",1997,2
326,"2018-11-01 00:02:39.6440","2018-11-01 00:08:06.4410",178,"MIT Pacific St at Purrington St",42.35957320109044,-71.10129475593567,105,"Lower Cambridgeport at Magazine St / Riverside Rd",42.357218503176526,-71.1138716340065,2244,"Subscriber",1996,1
502,"2018-11-01 00:03:50.1500","2018-11-01 00:12:12.3290",97,"Harvard University River Houses at DeWolfe St / Cowperthwaite St",42.36919031768079,-71.11714124679565,178,"MIT Pacific St at Purrington St",42.35957320109044,-71.10129475593567,3915,"Subscriber",1985,1
526,"2018-11-01 00:06:22.2510","2018-11-01 00:15:08.4500",91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,71,"Conway Park - Somerville Avenue",42.383405,-71.107593,2276,"Subscriber",1988,1
924,"2018-11-01 00:07:12.1260","2018-11-01 00:22:36.1510",50,"Boylston St at Berkeley St",42.3511419825475,-71.07329249382019,5,"Northeastern University - North Parking Lot",42.341814,-71.090179,1272,"Customer",1969,0
560,"2018-11-01 00:07:19.9580","2018-11-01 00:16:39.9680",177,"University Park",42.36264779118595,-71.10006093978882,33,"Kenmore Square",42.348706,-71.097009,4012,"Subscriber",1997,1
359,"2018-11-01 00:07:25.6340","2018-11-01 00:13:24.7650",120,"Beacon St at Charles St",42.356052,-71.069849,4,"Tremont St at E Berkeley St",42.345392,-71.069616,2062,"Subscriber",1990,1
338,"2018-11-01 00:07:53.5750","2018-11-01 00:13:31.9440",120,"Beacon St at Charles St",42.356052,-71.069849,4,"Tremont St at E Berkeley St",42.345392,-71.069616,4031,"Subscriber",1990,1
373,"2018-11-01 00:10:42.6830","2018-11-01 00:16:55.9850",189,"Kendall T",42.362427842912396,-71.08495473861694,75,"Lafayette Square at Mass Ave / Main St / Columbia St",42.36346469304347,-71.10057324171066,3981,"Subscriber",1990,1
919,"2018-11-01 00:16:33.5550","2018-11-01 00:31:53.1010",119,"South Boston Library - 646 E Broadway",42.335741,-71.03877,54,"Tremont St at West St",42.354979,-71.063348,4089,"Customer",1996,1
534,"2018-11-01 00:18:40.2340","2018-11-01 00:27:34.9490",107,"Ames St at Main St",42.3625,-71.08822,78,"Union Square - Somerville",42.37980717512428,-71.09387040138245,3769,"Subscriber",1971,1
487,"2018-11-01 00:19:03.1580","2018-11-01 00:27:10.7180",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,57,"Columbus Ave at Massachusetts Ave",42.340542615516355,-71.08138847914233,2813,"Subscriber",1996,1
454,"2018-11-01 00:19:26.8080","2018-11-01 00:27:01.3860",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,57,"Columbus Ave at Massachusetts Ave",42.340542615516355,-71.08138847914233,2308,"Subscriber",1997,2
347,"2018-11-01 00:19:52.1760","2018-11-01 00:25:39.6810",189,"Kendall T",42.362427842912396,-71.08495473861694,75,"Lafayette Square at Mass Ave / Main St / Columbia St",42.36346469304347,-71.10057324171066,4030,"Subscriber",1996,1
671,"2018-11-01 00:20:14.4570","2018-11-01 00:31:25.6900",10,"B.U. Central - 725 Comm. Ave.",42.350406,-71.108279,8,"Union Square - Brighton Ave at Cambridge St",42.353334,-71.137313,2894,"Subscriber",1991,1
1447,"2018-11-01 00:23:07.4580","2018-11-01 00:47:14.5090",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,99,"Wilson Square",42.385582,-71.113341,2468,"Subscriber",1996,2
343,"2018-11-01 00:23:07.4800","2018-11-01 00:28:51.0110",185,"Third at Binney",42.36544486137399,-71.08277142047882,90,"Lechmere Station at Cambridge St / First St",42.370677,-71.076529,3081,"Subscriber",1991,1
1373,"2018-11-01 00:24:18.0170","2018-11-01 00:47:11.0200",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,99,"Wilson Square",42.385582,-71.113341,2014,"Subscriber",1996,2
1482,"2018-11-01 00:24:23.7420","2018-11-01 00:49:05.9710",3,"Colleges of the Fenway - Fenway at Avenue Louis Pasteur",42.34011512249236,-71.10061883926392,78,"Union Square - Somerville",42.37980717512428,-71.09387040138245,2161,"Subscriber",1993,1
1374,"2018-11-01 00:25:53.0930","2018-11-01 00:48:47.7420",80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.09115600585936,37,"New Balance - 20 Guest St",42.35732921867706,-71.14673539996147,1111,"Subscriber",1985,1
848,"2018-11-01 00:27:26.1140","2018-11-01 00:41:35.0600",30,"Brigham Circle - Francis St at Huntington Ave",42.33462893055976,-71.10407917767589,55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,4172,"Subscriber",1994,1
173,"2018-11-01 00:27:35.3710","2018-11-01 00:30:28.8580",12,"Ruggles T Stop - Columbus Ave at Melnea Cass Blvd",42.33624444796878,-71.08798563480377,27,"Roxbury Crossing T Stop - Columbus Ave at Tremont St",42.331184,-71.095171,3519,"Subscriber",1998,1
485,"2018-11-01 00:28:11.3620","2018-11-01 00:36:16.5040",100,"Davis Square",42.396969,-71.123024,142,"Alewife Station at Russell Field",42.396105,-71.139459,2197,"Customer",1969,0
464,"2018-11-01 00:31:17.4710","2018-11-01 00:39:02.1680",5,"Northeastern University - North Parking Lot",42.341814,-71.090179,200,"Washington St at Melnea Cass Blvd",42.332817,-71.081198,3924,"Subscriber",1988,1
557,"2018-11-01 00:31:32.0260","2018-11-01 00:40:49.8040",55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,81,"Chinatown T Stop",42.352409,-71.062679,3842,"Subscriber",1997,1
527,"2018-11-01 00:31:49.0320","2018-11-01 00:40:36.7590",102,"Powder House Circle - Nathan Tufts Park",42.400877,-71.116772,234,"Broadway at Central St",42.39517150121575,-71.09850591982195,2638,"Customer",1969,0
1056,"2018-11-01 00:32:23.6060","2018-11-01 00:50:00.1800",96,"Cambridge Main Library at Broadway / Trowbridge St",42.373379,-71.111075,57,"Columbus Ave at Massachusetts Ave",42.340542615516355,-71.08138847914233,4005,"Subscriber",1989,1
279,"2018-11-01 00:37:04.5860","2018-11-01 00:41:43.8030",115,"Porter Square Station",42.387995,-71.119084,71,"Conway Park - Somerville Avenue",42.383405,-71.107593,4182,"Subscriber",1994,1
